areacd,d_or_o
E00127221,0
E00001384,0
E00122377,2
E00162616,1
E00090132,2
E00013866,2
E00184865,1
E00118736,2
E00127207,0
E00001469,0
E00183850,2
E00152398,0
E00089036,0
E00154627,1
E00178400,0
E00007916,2
E00140937,0
E00126037,1
E00094243,1
E00023993,0
E00156719,2
E00090048,1
E00087761,1
E00116602,0
E00120149,1
E00007990,1
E00011333,0
E00163605,0
E00090129,2
E00108972,0
E00118647,2
E00089142,1
E00116673,1
E00118792,1
E00121588,2
E00138710,0
E00010296,1
E00122355,0
E00174840,0
E00181987,2
E00112558,1
E00150452,1
E00118759,0
E00141081,1
E00001201,0
E00142112,2
E00022790,2
E00110599,0
E00021754,2
E00047834,0
E00118160,2
E00089303,2
E00011837,2
E00008827,2
E00029571,2
E00019677,0
E00065683,1
E00081570,2
E00150431,0
E00125967,2
E00081567,2
E00127185,0
E00118883,2
E00170502,1
E00179940,2
E00154582,0
E00122497,2
E00122484,2
E00008253,2
E00119886,2
E00120242,0
E00118933,0
E00169124,0
E00168387,0
E00022516,1
E00182021,2
E00075295,2
E00022766,0
E00111834,0
E00182086,0
E00007843,0
E00087802,0
E00007846,0
E00090144,1
E00019328,2
E00154588,1
E00133217,1
E00073101,0
E00150449,2
E00127205,2
E00109031,1
E00117943,2
E00074506,0
E00106810,0
E00011838,2
E00146169,1
E00089300,0
E00000978,0
E00154615,0
E00118707,1
E00125711,1
E00125718,0
E00144542,1
E00078656,2
E00104216,0
E00007955,2
E00078655,2
E00074537,0
E00121423,1
E00163844,0
E00118798,0
E00004670,0
E00008249,2
E00002015,0
E00015339,0
E00122099,2
E00146033,1
E00155030,2
E00118866,2
E00111833,2
E00187948,1
E00009012,2
E00150446,1
E00011319,2
E00000804,0
E00182374,2
E00154978,2
E00185279,1
E00086152,0
E00160127,1
E00047826,2
E00117704,1
E00189568,1
E00126039,0
E00089322,1
E00100125,2
E00126036,0
E00189326,1
E00006013,0
E00108974,1
E00189369,2
E00022814,2
E00011425,2
E00146031,0
E00014846,2
E00146026,1
E00146019,1
E00156702,0
E00155071,0
E00146021,2
E00016204,0
E00146022,0
E00011769,0
E00112722,0
E00183182,1
E00112679,2
E00144775,1
E00150260,0
E00113205,1
E00118784,1
E00155059,1
E00100706,0
E00090140,2
E00003831,1
E00141078,0
E00125852,0
E00109430,0
E00154830,1
E00163521,0
E00065865,0
E00168061,1
E00086146,2
E00133202,1
E00118671,0
E00081615,2
E00140946,2
E00149094,0
E00118899,1
E00125974,2
E00094212,0
E00154875,2
E00166101,2
E00166114,1
E00167963,1
E00029944,2
E00074484,1
E00119943,1
E00149218,2
E00001387,1
E00011888,1
E00084666,0
E00118890,0
E00119006,2
E00173228,2
E00182034,0
E00022510,1
E00008262,2
E00022289,2
E00047828,0
E00120265,1
E00065870,1
E00180605,0
E00188856,2
E00086162,2
E00124479,2
E00109897,1
E00008694,2
E00124482,1
E00126491,0
E00118172,0
E00081584,2
E00140949,1
E00150417,2
E00091988,2
E00144360,1
E00161330,1
E00015965,0
E00010395,2
E00118706,1
E00118719,1
E00162884,2
E00086113,2
E00008064,1
E00004662,0
E00158044,2
E00086112,0
E00100123,1
E00008068,1
E00182302,0
E00089229,0
E00008074,0
E00074540,1
E00150414,0
E00008886,2
E00150309,2
E00161482,0
E00121654,1
E00127135,0
E00008657,2
E00114738,1
E00089021,0
E00009122,0
E00010012,2
E00122357,2
E00122358,1
E00189347,1
E00014825,0
E00118764,1
E00011820,1
E00118773,1
E00146146,2
E00022930,2
E00118636,2
E00126043,2
E00108983,0
E00155061,1
E00155060,1
E00011287,0
E00187589,0
E00180774,0
E00008680,0
E00140939,1
E00124497,0
E00131717,2
E00118624,0
E00118620,0
E00022747,1
E00022757,0
E00146023,2
E00022507,1
E00167554,0
E00164123,0
E00190241,1
E00089146,1
E00065884,2
E00065885,0
E00022761,0
E00163444,2
E00145756,1
E00189186,0
E00065874,0
E00019467,1
E00155036,1
E00078365,1
E00122657,0
E00118669,1
E00022788,1
E00180577,1
E00145690,1
E00065868,1
E00144738,1
E00002236,1
E00017172,0
E00001935,2
E00150439,0
E00149091,0
E00061531,0
E00065717,1
E00163511,2
E00008004,2
E00017596,1
E00136338,1
E00002036,0
E00116865,2
E00127186,0
E00140943,2
E00008266,0
E00136850,2
E00184172,1
E00078653,1
E00069550,0
E00120138,1
E00022946,2
E00100102,0
E00013977,0
E00144814,2
E00124102,1
E00163201,0
E00118926,2
E00089204,1
E00158014,2
E00158004,2
E00022261,0
E00158008,2
E00082961,1
E00177047,1
E00122552,2
E00008233,1
E00126489,2
E00185783,1
E00155135,1
E00144744,1
E00013929,1
E00114893,2
E00122533,1
E00074504,2
E00118881,2
E00118718,1
E00089219,1
E00015962,1
E00111840,0
E00118709,2
E00127131,2
E00092260,1
E00130542,1
E00182268,2
E00116681,0
E00089230,2
E00120151,0
E00014838,2
E00008071,0
E00150244,1
E00089668,0
E00120131,1
E00118811,1
E00136728,1
E00136846,0
E00150307,0
E00090873,0
E00001336,0
E00150303,0
E00092258,0
E00167318,1
E00118789,0
E00118775,0
E00122359,2
E00127056,1
E00154975,2
E00016589,2
E00163520,0
E00010567,2
E00155134,2
E00118635,1
E00104180,2
E00011823,2
E00007844,1
E00170968,2
E00022935,0
E00168473,2
E00140938,1
E00125981,1
E00155062,0
E00008027,1
E00126038,2
E00011426,2
E00149076,1
E00110760,0
E00146030,2
E00089154,1
E00118763,0
E00011304,2
E00103232,2
E00010023,1
E00150243,0
E00131763,2
E00112730,0
E00109080,0
E00187769,0
E00146012,1
E00090180,2
E00090060,2
E00090057,1
E00146504,0
E00112668,2
E00089137,1
E00188693,2
E00008019,1
E00072914,2
E00007874,0
E00086174,0
E00183144,0
E00033196,1
E00124649,1
E00065869,2
E00118164,1
E00154890,1
E00154882,1
E00190446,0
E00103985,1
E00118898,0
E00183116,1
E00014810,2
E00047796,0
E00127192,0
E00047823,2
E00047794,1
E00090856,0
E00136852,2
E00136864,1
E00118112,0
E00190472,1
E00008231,0
E00011330,2
E00011302,1
E00119008,2
E00066196,0
E00076077,2
E00163200,0
E00166081,1
E00185524,2
E00022605,0
E00140926,0
E00182011,1
E00073934,2
E00086164,1
E00090142,1
E00187595,0
E00168033,2
E00125667,0
E00013490,1
E00107972,2
E00011431,0
E00136332,1
E00113997,1
E00118637,2
E00155130,1
E00146038,1
E00189701,1
E00118726,0
E00114236,0
E00186502,1
E00125627,0
E00094250,1
E00144550,0
E00016601,0
E00186387,2
E00127130,2
E00132542,0
E00104200,1
E00011883,2
E00011423,2
E00118616,2
E00022941,0
E00081557,1
E00017185,1
E00131773,0
E00089223,2
E00104191,1
E00100699,2
E00175698,1
E00013839,2
E00118127,0
E00141037,0
E00150305,1
E00149226,0
E00137623,2
E00022970,0
E00180710,1
E00029919,1
E00094448,1
E00011813,0
E00149760,0
E00173797,0
E00126031,1
E00108994,0
E00009700,0
E00121719,1
E00180566,0
E00001575,2
E00154921,2
E00076040,0
E00160622,0
E00089912,1
E00140936,1
E00065681,1
E00136343,0
E00150230,1
E00084827,2
E00152574,2
E00111863,0
E00122351,1
E00184824,2
E00171913,1
E00065446,2
E00061877,0
E00161883,1
E00154858,2
E00011767,2
E00010304,2
E00109079,1
E00118679,1
E00078561,1
E00150259,0
E00141075,2
E00116668,0
E00181995,0
E00149036,0
E00084170,0
E00184090,1
E00186680,1
E00112659,1
E00161335,2
E00110672,2
E00075647,2
E00146181,1
E00100170,0
E00009695,0
E00155140,0
E00112644,2
E00015278,1
E00104188,1
E00115399,1
E00140940,2
E00047821,1
E00146775,2
E00106804,2
E00090857,2
E00089671,1
E00185521,1
E00127188,1
E00106796,1
E00125536,0
E00144537,1
E00125541,2
E00015953,1
E00091977,0
E00074541,0
E00008276,0
E00076075,1
E00002013,2
E00125877,2
E00022513,1
E00114233,1
E00183726,2
E00078259,2
E00078264,1
E00065441,0
E00017924,1
E00008267,0
E00110684,1
E00104205,0
E00091993,2
E00118673,1
E00182187,0
E00135533,0
E00110670,0
E00146044,0
E00158151,1
E00013391,2
E00016191,0
E00150377,2
E00128209,2
E00161341,2
E00180775,0
E00171384,0
E00181964,1
E00118823,0
E00001675,0
E00112462,1
E00118702,0
E00154929,2
E00041089,0
E00144543,0
E00182514,2
E00023246,1
E00142110,0
E00112680,0
E00161433,0
E00118291,2
E00118793,1
E00127136,2
E00008550,1
E00013914,2
E00176931,0
E00013925,1
E00146032,1
E00118877,2
E00029914,1
E00139840,1
E00170427,2
E00022726,2
E00118672,1
E00123745,1
E00150308,2
E00114031,0
E00189324,1
E00108991,2
E00187715,1
E00100093,1
E00108986,2
E00189385,0
E00154933,1
E00090181,2
E00022509,1
E00118610,1
E00161587,1
E00188710,2
E00118705,0
E00116866,1
E00013649,2
E00075692,0
E00149082,0
E00137521,2
E00118661,1
E00121576,2
E00010397,0
E00110593,0
E00008660,0
E00187565,0
E00007991,1
E00122315,0
E00024746,0
E00084179,0
E00146010,0
E00024747,2
E00073102,2
E00011604,1
E00008573,2
E00189744,1
E00075290,1
E00150442,1
E00114223,2
E00125855,0
E00125856,1
E00131756,1
E00167715,1
E00109008,0
E00109010,2
E00118322,0
E00114570,1
E00137862,1
E00174801,0
E00107895,1
E00120140,1
E00140941,1
E00146506,2
E00104202,0
E00110640,1
E00124975,2
E00094435,0
E00013934,0
E00169631,1
E00029917,0
E00150373,2
E00107982,1
E00014603,2
E00146034,2
E00118949,2
E00001334,0
E00126514,2
E00120126,1
E00127219,1
E00167935,2
E00161801,2
E00011817,2
E00114040,0
E00090874,2
E00154791,2
E00011802,0
E00145704,1
E00141076,2
E00090056,2
E00155034,0
E00154797,2
E00089226,1
E00094450,0
E00110677,1
E00003097,2
E00091980,0
E00187718,2
E00154847,2
E00008252,2
E00186066,2
E00125859,1
E00013856,1
E00001664,0
E00149079,2
E00121562,1
E00149083,2
E00007996,1
E00150314,1
E00149038,0
E00127246,1
E00132494,1
E00016161,0
E00186722,0
E00001192,0
E00124485,2
E00008244,1
E00007924,0
E00183069,2
E00174781,1
E00001346,1
E00011429,2
E00116785,2
E00189354,2
E00075688,2
E00154857,0
E00110681,2
E00110689,0
E00008246,1
E00007939,0
E00146611,0
E00008083,2
E00007855,0
E00135692,2
E00146436,2
E00014611,0
E00112336,1
E00161483,0
E00010011,1
E00125671,1
E00161489,1
E00165906,1
E00118876,0
E00078646,0
E00186035,0
E00187746,2
E00008056,0
E00008991,0
E00013920,2
E00007974,1
E00120127,1
E00089225,2
E00154829,0
E00007995,2
E00013913,0
E00187776,2
E00186711,2
E00069588,0
E00118794,2
E00141838,2
E00160801,1
E00166595,1
E00069582,0
E00166598,2
E00141815,0
E00141817,0
E00118710,0
E00141812,1
E00162395,1
E00189827,0
E00157416,0
E00089227,1
E00162391,2
E00187441,2
E00118689,1
E00112228,2
E00160783,1
E00141825,2
E00141824,1
E00089302,1
E00129550,1
E00167965,0
E00148134,2
E00074493,1
E00148137,1
E00160556,2
E00074491,0
E00178378,2
E00141814,1
E00167972,1
E00065877,1
E00153348,1
E00153352,2
E00104201,2
E00153619,0
E00065883,0
E00065871,2
E00183414,0
E00089566,0
E00185505,2
E00145706,2
E00065867,1
E00166080,1
E00163508,2
E00104190,2
E00144719,1
E00185414,2
E00144720,1
E00132237,2
E00014158,0
E00171180,0
E00103816,1
E00183961,1
E00051344,0
E00023370,2
E00023586,0
E00144921,2
E00023411,1
E00123787,0
E00170335,1
E00095949,1
E00123719,1
E00180215,0
E00020546,2
E00153673,1
E00095954,2
E00058979,0
E00161281,2
E00092010,1
E00095940,2
E00007432,1
E00131141,1
E00141515,1
E00153681,2
E00007546,0
E00016912,0
E00182089,1
E00141529,0
E00119147,0
E00016909,1
E00176259,2
E00023371,2
E00021019,0
E00170704,0
E00058978,0
E00147534,0
E00123838,0
E00020215,0
E00109808,1
E00158307,0
E00020531,1
E00075717,1
E00171113,1
E00141237,0
E00013334,2
E00051351,2
E00183206,2
E00108399,1
E00123836,1
E00058981,0
E00016914,0
E00123612,2
E00021026,2
E00156347,1
E00021003,1
E00020213,1
E00000601,2
E00183931,0
E00141511,0
E00167143,2
E00058971,1
E00184900,1
E00160081,2
E00180463,0
E00167796,0
E00016913,1
E00020561,0
E00184557,1
E00058992,0
E00012749,2
E00020631,0
E00123780,1
E00170356,0
E00131123,2
E00051349,0
E00020569,0
E00153546,2
E00190284,2
E00160469,1
E00119695,1
E00082129,0
E00072719,2
E00185342,2
E00012826,1
E00072722,2
E00072718,2
E00012631,0
E00159923,2
E00151361,2
E00012298,1
E00131022,0
E00167030,1
E00121678,2
E00103203,1
E00126012,1
E00103184,0
E00006836,1
E00159799,2
E00151376,1
E00084201,2
E00145997,0
E00085549,0
E00189541,1
E00012116,2
E00159964,1
E00115082,2
E00119614,2
E00075542,1
E00115103,0
E00101758,0
E00083545,1
E00103212,1
E00103169,2
E00101759,1
E00119618,0
E00020295,2
E00008166,2
E00012792,0
E00150973,0
E00085739,1
E00162482,0
E00006832,1
E00041569,2
E00120457,1
E00158640,2
E00174883,1
E00103080,2
E00100001,2
E00088993,2
E00012300,2
E00103076,1
E00014715,1
E00010159,2
E00015987,1
E00006822,0
E00012131,2
E00189458,2
E00085403,2
E00085536,2
E00008311,0
E00000913,0
E00189559,1
E00086307,0
E00085235,1
E00177501,1
E00189506,0
E00085404,0
E00162483,0
E00029229,0
E00083549,0
E00012307,1
E00009644,2
E00012794,2
E00159836,0
E00012285,1
E00072736,0
E00159835,1
E00119679,1
E00119651,2
E00014710,1
E00162484,2
E00085215,2
E00000891,0
E00085715,1
E00157513,0
E00151134,2
E00151365,1
E00159795,2
E00103071,2
E00085542,0
E00119613,1
E00008288,1
E00185285,2
E00008171,1
E00103518,1
E00099158,1
E00094368,2
E00097790,2
E00112327,0
E00046440,0
E00116724,0
E00130922,0
E00164826,0
E00116949,2
E00116952,0
E00043234,1
E00001631,1
E00002096,2
E00130051,2
E00170415,0
E00100462,2
E00179876,1
E00010278,0
E00117030,2
E00142303,2
E00097792,0
E00112384,0
E00000619,2
E00190058,1
E00085425,1
E00186966,0
E00142298,1
E00117007,0
E00138071,2
E00018922,0
E00106787,0
E00002186,2
E00030604,2
E00013602,1
E00072588,0
E00141206,1
E00164824,0
E00171725,2
E00135874,2
E00001728,1
E00001887,2
E00117019,1
E00135872,1
E00002257,0
E00158542,2
E00086455,0
E00141217,2
E00049664,1
E00141213,2
E00072671,0
E00001895,1
E00135873,1
E00014012,0
E00010367,0
E00002083,0
E00072898,0
E00058217,2
E00170659,1
E00100606,1
E00135871,0
E00075076,0
E00001702,0
E00002058,0
E00099159,0
E00072821,0
E00100296,2
E00189529,0
E00128419,1
E00085869,2
E00135868,0
E00002240,1
E00000586,2
E00072825,1
E00108512,2
E00115693,1
E00103564,0
E00138262,1
E00072816,0
E00135877,2
E00124139,2
E00001611,1
E00128409,2
E00142295,1
E00043237,1
E00072594,2
E00058450,2
E00013998,0
E00094321,0
E00086453,2
E00002198,0
E00001679,1
E00097794,0
E00116951,1
E00112350,1
E00164827,2
E00108528,1
E00103574,1
E00142277,0
E00014029,0
E00029899,1
E00002266,0
E00188223,2
E00061943,0
E00094334,1
E00117028,1
E00112966,1
E00010081,0
E00001888,1
E00135867,0
E00117031,2
E00117020,0
E00185027,0
E00098114,2
E00072608,0
E00164815,2
E00130121,2
E00164841,0
E00135876,1
E00117023,0
E00002250,2
E00135875,2
E00092248,0
E00002101,0
E00072826,2
E00032234,0
E00171295,2
E00097823,1
E00117035,2
E00072823,2
E00117032,1
E00123619,0
E00112362,2
E00001903,2
E00085420,1
E00010096,2
E00113404,1
E00072682,2
E00115282,0
E00085421,0
E00130114,0
E00108768,1
E00066482,1
E00117033,2
E00030611,1
E00001626,2
E00107545,0
E00117668,1
E00002269,2
E00014226,1
E00154838,2
E00155568,2
E00116677,2
E00171323,2
E00125988,2
E00115102,1
E00001246,0
E00012854,1
E00002170,2
E00013357,0
E00120320,1
E00115278,2
E00125993,1
E00154930,2
E00013366,1
E00144725,2
E00009862,2
E00095948,2
E00170304,0
E00161607,2
E00007442,0
E00002247,0
E00161342,0
E00007905,0
E00011591,1
E00022588,1
E00072790,2
E00013645,2
E00008167,1
E00154641,1
E00166778,0
E00119064,2
E00092213,1
E00090754,1
E00001567,2
E00180631,0
E00182116,1
E00167110,2
E00010772,0
E00011891,0
E00115277,0
E00131746,0
E00119459,1
E00182180,2
E00125989,2
E00154723,2
E00000589,2
E00152619,1
E00085447,0
E00088997,1
E00014839,2
E00185018,2
E00001480,1
E00165928,1
E00158647,2
E00187856,0
E00148367,1
E00113149,2
E00118928,1
E00144779,2
E00118812,1
E00121468,2
E00001471,2
E00001309,1
E00161608,2
E00009876,1
E00126007,2
E00031858,0
E00001681,1
E00161598,1
E00166396,2
E00089173,1
E00100473,0
E00000583,2
E00000919,1
E00152575,2
E00012845,2
E00023083,2
E00019451,2
E00119012,2
E00128226,1
E00113081,2
E00035277,0
E00002189,1
E00095941,1
E00000883,1
E00140915,0
E00000887,1
E00154757,1
E00115230,1
E00086119,1
E00118808,0
E00072668,2
E00092277,0
E00187757,1
E00088998,1
E00116607,2
E00180650,1
E00023299,1
E00118927,2
E00183755,1
E00119054,1
E00125858,1
E00008039,2
E00154639,2
E00112992,2
E00113085,1
E00115291,1
E00029589,0
E00126480,1
E00016633,0
E00022806,2
E00023059,1
E00012288,1
E00061535,2
E00003351,2
E00120465,2
E00161332,2
E00009896,0
E00072677,0
E00118829,2
E00116367,1
E00125851,1
E00010767,2
E00166790,2
E00170828,0
E00159954,0
E00148368,1
E00161600,1
E00154752,1
E00146176,1
E00152582,1
E00002183,0
E00001910,0
E00189440,0
E00011303,1
E00119462,0
E00010036,2
E00188692,1
E00007853,0
E00001547,2
E00126581,0
E00158016,0
E00119448,2
E00031898,1
E00100467,0
E00075677,2
E00118918,0
E00086172,1
E00116461,2
E00119446,2
E00013637,1
E00154763,1
E00125998,1
E00154897,0
E00008756,2
E00094130,0
E00112814,0
E00168048,1
E00008792,1
E00120463,2
E00015969,2
E00010017,2
E00112085,0
E00113141,1
E00014232,1
E00000884,1
E00189433,0
E00115347,2
E00178798,1
E00000894,0
E00115225,2
E00008046,1
E00126004,1
E00158648,1
E00126000,0
E00126005,1
E00183735,2
E00001355,0
E00001489,2
E00119062,2
E00008986,1
E00125629,0
E00113203,1
E00117944,1
E00144786,1
E00011761,1
E00001602,0
E00131769,2
E00125853,0
E00180651,0
E00131040,0
E00154737,2
E00013870,2
E00090773,2
E00154892,2
E00168041,0
E00119989,1
E00002238,1
E00133600,0
E00107431,2
E00001663,1
E00022503,2
E00089026,1
E00100474,1
E00001786,2
E00149281,0
E00010165,2
E00154773,0
E00115233,2
E00175060,1
E00144535,0
E00146171,0
E00176323,1
E00161298,2
E00126484,0
E00100460,2
E00149152,0
E00114776,2
E00118810,0
E00011599,0
E00112390,2
E00072778,0
E00103581,1
E00149196,1
E00008789,2
E00131588,0
E00140914,1
E00009834,1
E00013857,1
E00013864,0
E00023058,0
E00144723,0
E00023179,0
E00010074,0
E00006930,0
E00023048,1
E00154726,2
E00116684,2
E00031585,2
E00001019,2
E00003808,2
E00168049,1
E00008678,0
E00008221,2
E00167269,0
E00110727,1
E00176236,0
E00149298,1
E00022594,0
E00167061,2
E00009994,1
E00009990,1
E00189414,2
E00113859,1
E00113021,2
E00154842,2
E00001916,2
E00009706,1
E00150970,2
E00011771,0
E00101655,2
E00128182,2
E00183754,2
E00154917,0
E00116676,0
E00019622,2
E00126463,2
E00159470,2
E00112995,0
E00000921,0
E00157696,0
E00001248,0
E00152620,1
E00029946,0
E00118667,2
E00123630,1
E00092274,2
E00008216,1
E00072578,0
E00112815,1
E00112811,1
E00001313,2
E00007867,0
E00072684,0
E00170829,0
E00010766,1
E00001475,1
E00154762,0
E00119425,2
E00072797,2
E00001966,2
E00158651,1
E00022593,1
E00110634,0
E00001486,2
E00010145,1
E00116722,1
E00001463,0
E00154730,0
E00178772,1
E00126026,0
E00141202,1
E00119060,1
E00013595,1
E00072776,2
E00014574,0
E00163527,1
E00118760,2
E00022778,1
E00000778,2
E00161771,1
E00001457,0
E00168031,2
E00115281,2
E00002235,2
E00008588,0
E00008589,1
E00001735,0
E00002192,2
E00161976,2
E00168056,2
E00014229,1
E00133606,2
E00022900,2
E00172108,1
E00185134,0
E00167249,1
E00000812,1
E00001371,1
E00121458,0
E00100461,0
E00001339,1
E00118770,0
E00113128,2
E00161509,2
E00001341,0
E00118813,0
E00011754,2
E00093894,0
E00007967,1
E00149250,0
E00022611,2
E00014252,2
E00172910,1
E00099231,1
E00131589,2
E00035610,1
E00149228,0
E00118922,0
E00161406,0
E00112994,0
E00110924,1
E00126459,0
E00100465,1
E00120600,1
E00100464,0
E00010077,0
E00011911,2
E00154896,0
E00112984,0
E00095947,0
E00020246,0
E00183412,2
E00118631,2
E00154918,0
E00154939,0
E00007588,1
E00150223,2
E00095943,0
E00000603,1
E00149299,2
E00150195,2
E00011294,1
E00152584,2
E00119421,0
E00001377,2
E00009855,2
E00183824,1
E00000885,1
E00188536,2
E00154839,1
E00001562,1
E00011770,1
E00140998,2
E00188655,1
E00119454,2
E00189487,0
E00001579,2
E00094328,2
E00031855,1
E00183866,2
E00125854,2
E00174355,0
E00115687,2
E00184432,1
E00022490,1
E00116686,1
E00116452,0
E00161331,2
E00010186,2
E00154888,0
E00125987,0
E00112812,0
E00125482,0
E00180559,2
E00001447,2
E00157368,2
E00115254,0
E00072820,1
E00182399,2
E00001306,0
E00128212,0
E00171043,0
E00116741,2
E00089645,1
E00001774,2
E00115227,2
E00116738,0
E00116721,0
E00184906,2
E00144794,2
E00014607,2
E00187466,2
E00149040,2
E00176290,1
E00003346,2
E00011602,1
E00118923,2
E00008585,1
E00011581,1
E00100470,1
E00118806,0
E00187754,0
E00008562,0
E00034803,2
E00100471,1
E00115280,1
E00159839,0
E00010079,1
E00001581,1
E00154845,1
E00002191,0
E00001342,1
E00154941,0
E00119988,0
E00161592,2
E00131714,0
E00131621,1
E00168045,2
E00121460,1
E00147257,1
E00187741,0
E00161866,1
E00009124,2
E00001333,2
E00170314,1
E00024706,0
E00123848,2
E00001376,2
E00118801,1
E00011757,1
E00073125,1
E00008283,0
E00171060,1
E00183971,1
E00187538,0
E00103864,0
E00131584,1
E00109693,2
E00114746,0
E00072618,1
E00104195,0
E00163525,1
E00110925,2
E00023060,0
E00001020,0
E00131594,0
E00190321,1
E00170305,2
E00182362,0
E00126051,1
E00100463,0
E00126040,2
E00154920,2
E00100475,1
E00001027,0
E00115250,0
E00126034,1
E00118809,1
E00116605,2
E00118629,0
E00001565,2
E00150198,1
E00118623,2
E00178366,0
E00008575,1
E00150190,1
E00125644,0
E00174417,1
E00001035,1
E00107779,2
E00116710,2
E00154849,1
E00125861,1
E00010000,0
E00154853,1
E00012607,0
E00022705,1
E00013252,2
E00010060,2
E00116667,0
E00019468,2
E00086176,2
E00031857,1
E00124273,1
E00001776,1
E00121519,2
E00012045,2
E00103860,1
E00008568,0
E00008574,1
E00146165,2
E00121550,0
E00001775,0
E00053216,1
E00092948,2
E00110730,0
E00011863,1
E00178875,1
E00189210,0
E00072822,0
E00103811,0
E00000987,2
E00115245,1
E00072819,0
E00178808,0
E00008980,0
E00008973,1
E00113129,1
E00126866,0
E00088999,2
E00001335,2
E00154176,0
